"id","league_id","user_team_id","round","pick","player_id","position","autopicked","time"
1572178,99,874,6,42,421,"FWD",0,"2023-03-13 11:40:18"
1572182,99,878,6,43,162,"MID",0,"2023-03-13 11:40:24"
1572189,99,877,6,44,684,"MID",0,"2023-03-13 11:40:30"
1572231,99,876,6,45,136,"FWD",0,"2023-03-13 11:40:57"
1572240,99,872,6,46,447,"RUC",0,"2023-03-13 11:41:08"
1572244,99,875,6,47,671,"DEF",0,"2023-03-13 11:41:17"
1572245,99,879,6,48,260,"DEF",0,"2023-03-13 11:41:23"
1572252,99,873,7,49,489,"MID",0,"2023-03-13 11:41:30"
1572258,99,874,7,50,730,"MID",0,"2023-03-13 11:41:36"
1572270,99,878,7,51,593,"RUC",0,"2023-03-13 11:41:43"
1572277,99,877,7,52,609,"DEF",0,"2023-03-13 11:41:49"
1572283,99,876,7,53,440,"DEF",0,"2023-03-13 11:41:58"
1572288,99,872,7,54,108,"MID",0,"2023-03-13 11:42:06"
1572297,99,875,7,55,17,"MID",0,"2023-03-13 11:42:13"
1572308,99,879,7,56,223,"MID",0,"2023-03-13 11:42:20"
1572311,99,873,8,57,394,"MID",0,"2023-03-13 11:42:28"
1572314,99,874,8,58,547,"DEF",0,"2023-03-13 11:42:34"
1572322,99,878,8,59,694,"MID",0,"2023-03-13 11:42:41"
1572331,99,877,8,60,573,"FWD",0,"2023-03-13 11:42:48"
1572340,99,876,8,61,603,"MID",0,"2023-03-13 11:42:59"
1572358,99,872,8,62,126,"DEF",0,"2023-03-13 11:43:07"
1572377,99,875,8,63,139,"MID",0,"2023-03-13 11:43:13"
1572397,99,879,8,64,50,"FWD",0,"2023-03-13 11:43:21"
1572415,99,873,9,65,524,"FWD",0,"2023-03-13 11:43:28"
1572430,99,874,9,66,514,"MID",0,"2023-03-13 11:43:40"
1572442,99,878,9,67,206,"DEF",0,"2023-03-13 11:43:47"
1572464,99,877,9,68,247,"DEF",0,"2023-03-13 11:43:54"
1572495,99,876,9,69,249,"MID",0,"2023-03-13 11:44:02"
1572518,99,872,9,70,310,"RUC",0,"2023-03-13 11:44:09"
1572533,99,875,9,71,196,"DEF",0,"2023-03-13 11:44:18"
1572549,99,879,9,72,74,"RUC",0,"2023-03-13 11:44:25"
1572572,99,873,10,73,457,"DEF",0,"2023-03-13 11:44:32"
1572600,99,874,10,74,239,"RUC",0,"2023-03-13 11:44:47"
1572636,99,878,10,75,94,"MID",0,"2023-03-13 11:45:04"
1572659,99,877,10,76,761,"DEF",0,"2023-03-13 11:45:10"
1572679,99,876,10,77,425,"MID",0,"2023-03-13 11:45:21"
1572768,99,872,10,78,324,"MID",0,"2023-03-13 11:46:12"
1572778,99,875,10,79,225,"DEF",0,"2023-03-13 11:46:20"
1572788,99,879,10,80,313,"FWD",0,"2023-03-13 11:46:27"
1572796,99,873,11,81,499,"DEF",0,"2023-03-13 11:46:34"
1572806,99,874,11,82,386,"MID",0,"2023-03-13 11:46:41"
1572827,99,878,11,83,204,"DEF",0,"2023-03-13 11:46:48"
1572849,99,877,11,84,167,"MID",0,"2023-03-13 11:46:55"
1572875,99,876,11,85,599,"DEF",0,"2023-03-13 11:47:09"
1572916,99,872,11,86,706,"DEF",0,"2023-03-13 11:47:39"
1572950,99,875,11,87,391,"DEF",0,"2023-03-13 11:47:54"
1572979,99,879,11,88,624,"FWD",0,"2023-03-13 11:48:08"
1572987,99,873,12,89,590,"FWD",0,"2023-03-13 11:48:14"
1573000,99,874,12,90,81,"DEF",0,"2023-03-13 11:48:21"
1573011,99,878,12,91,299,"MID",0,"2023-03-13 11:48:28"
1573021,99,877,12,92,588,"FWD",0,"2023-03-13 11:48:36"
1573037,99,876,12,93,569,"FWD",0,"2023-03-13 11:48:46"
1573056,99,872,12,94,623,"MID",0,"2023-03-13 11:48:55"
1573070,99,875,12,95,99,"FWD",0,"2023-03-13 11:49:02"
1573094,99,879,12,96,1,"MID",0,"2023-03-13 11:49:13"
1573105,99,873,13,97,587,"MID",0,"2023-03-13 11:49:20"
1573117,99,874,13,98,733,"MID",0,"2023-03-13 11:49:26"
1573124,99,878,13,99,782,"DEF",0,"2023-03-13 11:49:32"
1573134,99,877,13,100,326,"FWD",0,"2023-03-13 11:49:46"
1573138,99,876,13,101,596,"MID",0,"2023-03-13 11:49:57"
1573139,99,872,13,102,487,"FWD",0,"2023-03-13 11:50:06"
1573143,99,875,13,103,142,"MID",0,"2023-03-13 11:50:15"
1573150,99,879,13,104,370,"FWD",0,"2023-03-13 11:50:22"
1573168,99,873,14,105,235,"FWD",0,"2023-03-13 11:50:32"
1573175,99,874,14,106,767,"RUC",0,"2023-03-13 11:50:39"
1573181,99,878,14,107,387,"RUC",0,"2023-03-13 11:50:45"
1573183,99,877,14,108,529,"MID",0,"2023-03-13 11:50:54"
1573186,99,876,14,109,312,"FWD",0,"2023-03-13 11:51:01"
1573193,99,872,14,110,278,"DEF",0,"2023-03-13 11:51:08"
1573202,99,875,14,111,683,"FWD",0,"2023-03-13 11:51:15"
1573218,99,879,14,112,6,"MID",0,"2023-03-13 11:51:22"
1573226,99,873,15,113,781,"DEF",0,"2023-03-13 11:51:27"
1573240,99,874,15,114,319,"MID",0,"2023-03-13 11:51:34"
1573247,99,878,15,115,764,"MID",0,"2023-03-13 11:51:41"
1573260,99,877,15,116,208,"MID",0,"2023-03-13 11:51:52"
1573277,99,876,15,117,181,"RUC",0,"2023-03-13 11:52:06"
1573293,99,872,15,118,546,"FWD",0,"2023-03-13 11:52:14"
1573314,99,875,15,119,374,"FWD",0,"2023-03-13 11:52:50"
1573315,99,879,15,120,112,"MID",0,"2023-03-13 11:52:56"
1573420,99,873,16,121,497,"RUC",0,"2023-03-13 11:54:47"
1573515,99,874,16,122,56,"DEF",0,"2023-03-13 11:56:59"
1573530,99,878,16,123,506,"DEF",0,"2023-03-13 11:57:08"
1573550,99,877,16,124,643,"MID",0,"2023-03-13 11:57:24"
1573594,99,876,16,125,308,"DEF",0,"2023-03-13 11:58:45"
1573598,99,872,16,126,322,"DEF",0,"2023-03-13 11:58:59"
1573610,99,875,16,127,244,"MID",0,"2023-03-13 11:59:09"
1573619,99,879,16,128,689,"MID",0,"2023-03-13 11:59:17"
1573630,99,873,17,129,742,"DEF",0,"2023-03-13 11:59:24"
1573635,99,874,17,130,766,"DEF",0,"2023-03-13 11:59:33"
1573643,99,878,17,131,207,"MID",0,"2023-03-13 11:59:40"
1573653,99,877,17,132,543,"FWD",0,"2023-03-13 11:59:49"
1573665,99,876,17,133,654,"DEF",0,"2023-03-13 11:59:58"
1573677,99,872,17,134,43,"FWD",0,"2023-03-13 12:00:06"
1573691,99,875,17,135,437,"MID",0,"2023-03-13 12:00:22"
1573701,99,879,17,136,728,"DEF",0,"2023-03-13 12:00:33"
1573705,99,873,18,137,536,"FWD",0,"2023-03-13 12:00:41"
1573706,99,874,18,138,552,"RUC",0,"2023-03-13 12:00:48"
1573709,99,878,18,139,88,"FWD",0,"2023-03-13 12:00:55"
1573721,99,877,18,140,723,"FWD",0,"2023-03-13 12:01:04"
1573739,99,876,18,141,193,"FWD",0,"2023-03-13 12:01:12"
1573763,99,872,18,142,510,"FWD",0,"2023-03-13 12:01:21"
1573780,99,875,18,143,186,"DEF",0,"2023-03-13 12:01:28"
1573795,99,879,18,144,47,"DEF",0,"2023-03-13 12:01:35"
1573814,99,873,19,145,68,"MID",0,"2023-03-13 12:01:44"
1573838,99,874,19,146,151,"DEF",0,"2023-03-13 12:01:53"
1573859,99,878,19,147,49,"MID",0,"2023-03-13 12:02:03"
1573888,99,877,19,148,348,"DEF",0,"2023-03-13 12:02:17"
1573971,99,876,19,149,262,"FWD",0,"2023-03-13 12:02:53"
1574012,99,872,19,150,479,"MID",0,"2023-03-13 12:03:18"
1574023,99,875,19,151,720,"FWD",0,"2023-03-13 12:03:26"
1574024,99,879,19,152,132,"MID",0,"2023-03-13 12:03:33"
1574030,99,873,20,153,157,"DEF",0,"2023-03-13 12:03:41"
1574033,99,874,20,154,395,"MID",0,"2023-03-13 12:03:48"
1574034,99,878,20,155,430,"DEF",0,"2023-03-13 12:03:56"
1574036,99,877,20,156,451,"MID",0,"2023-03-13 12:04:05"
1574042,99,876,20,157,773,"MID",0,"2023-03-13 12:04:16"
1574043,99,872,20,158,282,"FWD",0,"2023-03-13 12:04:25"
1574045,99,875,20,159,448,"FWD",0,"2023-03-13 12:04:36"
1574049,99,879,20,160,140,"MID",0,"2023-03-13 12:04:45"
1574053,99,873,21,161,687,"FWD",0,"2023-03-13 12:04:56"
1574056,99,874,21,162,725,"FWD",0,"2023-03-13 12:05:03"
1574062,99,878,21,163,291,"FWD",0,"2023-03-13 12:05:12"
1574065,99,877,21,164,80,"FWD",0,"2023-03-13 12:05:19"
1574070,99,876,21,165,402,"DEF",0,"2023-03-13 12:05:31"
1574073,99,872,21,166,33,"FWD",0,"2023-03-13 12:05:39"
1574074,99,875,21,167,367,"RUC",0,"2023-03-13 12:05:54"
1574079,99,879,21,168,15,"DEF",0,"2023-03-13 12:06:06"
1574080,99,873,22,169,668,"RUC",0,"2023-03-13 12:06:13"
1574084,99,874,22,170,756,"MID",0,"2023-03-13 12:06:24"
1574089,99,878,22,171,24,"FWD",0,"2023-03-13 12:06:31"
1574092,99,877,22,172,163,"DEF",0,"2023-03-13 12:06:38"
1574097,99,876,22,173,584,"FWD",0,"2023-03-13 12:06:48"
1574099,99,872,22,174,504,"FWD",0,"2023-03-13 12:06:54"
1574107,99,875,22,175,117,"FWD",0,"2023-03-13 12:07:06"
1574111,99,879,22,176,539,"MID",0,"2023-03-13 12:07:13"
1574116,99,873,23,177,466,"FWD",0,"2023-03-13 12:07:27"
1574120,99,874,23,178,436,"FWD",0,"2023-03-13 12:07:36"
1574129,99,878,23,179,375,"FWD",0,"2023-03-13 12:07:45"
1574132,99,877,23,180,410,"DEF",0,"2023-03-13 12:07:53"
1574133,99,876,23,181,344,"FWD",0,"2023-03-13 12:08:00"
1574139,99,872,23,182,629,"FWD",0,"2023-03-13 12:08:09"
1574145,99,875,23,183,762,"RUC",0,"2023-03-13 12:08:16"
1574149,99,879,23,184,168,"DEF",0,"2023-03-13 12:08:24"
