"","coach","order_id","pick","player_id","position","round","time","min"
"154","LESTER",2,154,291783,"MID",20,"2025-02-22 21:07:12",21
"155","KAPPAZ",3,155,993878,"FWD",20,"2025-02-22 21:08:13",61
"156","GARTER",4,156,1001028,"FWD",20,"2025-02-22 21:08:45",32
"157","MELONS",5,157,1002235,"FWD",20,"2025-02-22 21:09:12",27
"158","CHIEF",6,158,1027875,"FWD",20,"2025-02-22 21:09:49",37
"159","PMAC",7,159,993903,"MID",20,"2025-02-22 21:10:14",25
"160","JMERC",8,160,296359,"DEF",20,"2025-02-22 21:10:34",20
"161","JMERC",8,161,1001396,"MID",21,"2025-02-22 21:11:03",29
"162","PMAC",7,162,996059,"DEF",21,"2025-02-22 21:11:47",44
"163","CHIEF",6,163,998215,"MID",21,"2025-02-22 21:12:05",18
"164","MELONS",5,164,296294,"MID",21,"2025-02-22 21:12:23",18
"165","GARTER",4,165,990290,"DEF",21,"2025-02-22 21:12:57",34
"166","KAPPAZ",3,166,1004870,"DEF",21,"2025-02-22 21:13:29",32
"167","LESTER",2,167,295584,"FWD",21,"2025-02-22 21:14:11",42
"168","RICHO",1,168,1006136,"MID",21,"2025-02-22 21:15:22",71
"169","RICHO",1,169,293581,"FWD",22,"2025-02-22 21:15:52",30
"170","LESTER",2,170,1008139,"FWD",22,"2025-02-22 21:16:41",49
"171","KAPPAZ",3,171,1023272,"FWD",22,"2025-02-22 21:17:27",46
"172","GARTER",4,172,998129,"MID",22,"2025-02-22 21:18:01",34
"173","MELONS",5,173,294685,"FWD",22,"2025-02-22 21:19:20",79
"174","CHIEF",6,174,270917,"MID",22,"2025-02-22 21:20:01",41
"175","PMAC",7,175,293884,"FWD",22,"2025-02-22 21:20:35",34
"176","JMERC",8,176,1013462,"MID",22,"2025-02-22 21:21:06",31
"177","JMERC",8,177,1012805,"MID",23,"2025-02-22 21:21:37",31
"178","PMAC",7,178,994386,"MID",23,"2025-02-22 21:22:22",45
"179","CHIEF",6,179,1017703,"DEF",23,"2025-02-22 21:23:18",56
"180","MELONS",5,180,1017067,"DEF",23,"2025-02-22 21:23:33",15
"181","GARTER",4,181,1020250,"FWD",23,"2025-02-22 21:23:48",15
"182","KAPPAZ",3,182,1000072,"DEF",23,"2025-02-22 21:24:02",14
"183","LESTER",2,183,1028515,"MID",23,"2025-02-22 21:24:33",31
"184","RICHO",1,184,1008083,"DEF",23,"2025-02-22 21:25:07",34
