playerName,playerId,teamAbbr,salarySuperCoach,positionSuperCoach,valuePosition,ownershipSuperCoach,pricedAt,age,playerIdVoid,gms,subCount,kicks,handballs,marks,tackles,hitouts,ruckContestPercentage,goals,centreBounceAttendancePercentage,kickins,playOnPercentage,timeOnGroundPercentage,FP,consistency,FPadj,FPfirst,FPsecond,FPreg,FPfin,maxFP,minFP,pointsPerMinute,gm100,gm120,gmSub90,cbaPre,kiPre,poPre,togPre,fpPre,ppmPre,changeOwn,dollarsPerPoint,rankSalary,rankReg,rankAdj,rankFirst,rankSecond
Lachie Whitfield,CD_I294305,GWS,598100,DEF,DEF,11.6,111,30,CD_I294305,25,,19.6,10.6,7.1,2.9,0,0,0,0,159,92,82,109.7,0.207,109.7,99.2,121.8,111,94.5,153,54,1.06,19,7,5,0,1,100,50,78,1.26,0.1,5388,4,4,8,15,1
Zach Merrett,CD_I992016,ESS,621100,MID,MID,8,115.2,29,CD_I992016,23,,15.7,12.5,4.3,5,0,0,0.6,80,3,100,84,115.3,0.175,115.3,116.8,113.5,115.3,,145,74,1.1,18,11,3,68,1,100,83,111,1.12,0,5387,9,9,8,9,8
Darcy Cameron,CD_I990291,COL,566500,RUC,RUC,5.6,105.1,29,CD_I990291,23,,10,5.6,4.6,2.8,29.3,70,0.5,75,0,,80,105.1,0.289,105.1,98.5,112.4,105.1,,165,18,1.03,12,8,5,61,0,,76,54,0.61,-0.1,5390,8,8,8,11,6
Charlie Curnow,CD_I996731,CAR,444200,FWD,FWD,2,82.4,28,CD_I996731,21,,10.2,1.9,6,1,0,0,2.7,0,0,,90,82.4,0.351,85.7,90.2,72.1,82.4,,122,17,0.72,7,1,11,0,0,,92,66,0.58,0,5391,12,12,8,7,39
Dan Houston,CD_I994295,COL,575600,DEF,DEF,12.2,106.8,27,CD_I994295,22,,16.7,6.3,5.4,3.5,0,0,0.3,0,80,96,84,106.8,0.226,106.8,108.9,104.3,106.8,,174,59,1.02,14,4,4,0,0,,79,109,1.18,-0.1,5390,8,8,9,6,9
Isaac Heeney,CD_I298539,SYD,629200,MID,MID,3.7,116.7,28,CD_I298539,24,,13.7,11.4,4.5,4.7,0,0,1.4,74,0,,81,115,0.261,115,125.5,107.1,116.8,103,165,30,1.14,17,12,5,50,0,,75,70,0.81,0,5387,6,6,9,1,16
Sean Darcy,CD_I998145,FRE,529400,RUC,RUC,1.7,98.2,26,CD_I998145,12,,5.3,7.2,1.6,3,31.2,65,0.5,67,0,,71,98.3,0.249,104.9,98.8,97.9,98.3,,147,51,1.12,6,2,4,44,0,,40,52,1.11,-0.1,5386,11,11,9,10,14
Alex Neal-Bullen,CD_I296420,ADE,458500,FWD/MID,FWD,1.3,85.1,29,CD_I296420,23,,9.7,9.1,3.3,5.1,0,0,0.4,20,0,,81,85.1,0.25,85.1,85.2,85,85.1,,134,49,0.84,4,1,14,11,0,,83,110,1.08,0,5388,9,9,9,13,13
Nic Martin,CD_I1012013,ESS,566000,DEF,DEF,2.9,105,23,CD_I1012013,23,,18.2,10.1,6.7,2.3,0,0,0.7,2,35,97,95,105,0.199,105,103.8,106.5,105,,142,63,0.89,12,7,4,0,4,75,88,109,1.03,-0.1,5390,9,9,10,10,7
Patrick Cripps,CD_I990704,CAR,595300,MID,MID,8.3,110.4,29,CD_I990704,24,,11.1,17.8,2.6,5.4,0.8,5,0.7,79,0,,83,111.2,0.205,111.2,108.8,112.4,110.5,128,144,68,1.06,17,9,6,75,0,,76,89,0.95,0,5387,11,11,10,18,10
Lloyd Meek,CD_I1000980,HAW,557600,RUC,RUC,5.2,103.5,26,CD_I1000980,21,,5.7,8.8,2.4,3.4,36.1,82,0.4,85,0,,83,104.5,0.18,104.5,102,104.8,103.5,114,145,71,1.02,14,4,5,,,,,,,0.1,5387,9,9,10,8,9
Gryan Miers,CD_I1004938,GEE,441400,FWD,FWD,0.6,81.9,25,CD_I1004938,25,,12.6,7.6,4,4.2,0,0,0.8,2,0,,85,84.7,0.287,84.7,87.2,76.2,81.9,116.5,125,32,0.78,7,2,16,0,0,,80,48,0.5,0,5389,14,14,10,11,28
Jordan Clark,CD_I1006152,FRE,563700,DEF,DEF,4.8,104.6,24,CD_I1006152,23,,16.6,8.1,6.8,2.7,0,0,0.1,0,49,94,86,104.6,0.212,104.6,107.7,101.3,104.6,,151,60,0.99,16,4,7,0,4,100,79,84,0.91,-0.1,5389,10,10,11,8,13
Tom Green,CD_I1009528,GWS,574200,MID,MID,9,106.5,24,CD_I1009528,25,,13.4,17.4,3,4,0,0,0.4,80,0,,80,106,0.302,110.2,103.4,109.5,106.6,99.5,159,5,1.04,14,6,6,75,0,,82,118,1.17,-1.4,5386,19,20,11,31,15
Tom De Koning,CD_I1004912,CAR,547100,RUC,RUC,30.6,101.5,25,CD_I1004912,18,1,8.6,7.7,3.3,3.4,19.9,58,0.5,61,0,,75,99.2,0.364,99.2,92,124.4,101.5,59,176,28,1.04,8,6,7,57,0,,76,63,0.68,0.2,5390,10,10,11,13,2
Harry McKay,CD_I1000953,CAR,467200,FWD,FWD,0.8,86.7,27,CD_I1000953,21,,9.9,3.2,6.8,2.5,1.4,8,2.3,10,0,,89,84.5,0.263,84.5,93.6,76.4,86.7,41,137,41,0.74,4,2,13,11,0,,87,107,1,0,5389,7,7,11,6,26
Tom Stewart,CD_I291800,GEE,521000,DEF,DEF,7.4,96.7,31,CD_I291800,23,,15.6,6,6.1,3,0,0,0,26,68,93,78,97.4,0.245,102.1,94,99.4,96.7,113,139,33,0.98,13,4,8,0,5,80,68,74,0.91,0,5388,18,18,12,21,15
Oscar McInerney,CD_I1005521,BRL,517300,RUC,RUC,0.8,96,30,CD_I1005521,25,,7,5.7,1.9,3.2,32.4,76,0.4,83,0,,81,94,0.275,98.9,90.1,100.9,96,79.7,131,23,0.91,10,4,9,67,0,,75,66,0.77,0,5389,12,12,12,15,12
Mason Wood,CD_I295340,STK,431700,FWD/MID,FWD,0.3,80.1,31,CD_I295340,18,,11.9,6.4,7.4,1.9,0,0,0.9,0,0,,83,80.1,0.36,84.4,88.6,74.7,80.1,,140,8,0.8,5,1,11,0,0,,79,59,0.62,0,5390,16,16,12,9,31
Nic Newman,CD_I297907,CAR,546800,DEF,DEF,0.3,101.4,32,CD_I297907,24,,17.2,6.4,8.1,3.8,0,0,0,0,64,97,89,101.8,0.268,101.8,100.8,102.3,101.5,110,156,56,0.91,13,5,8,0,0,,65,48,0.6,0,5387,12,12,13,13,10
Andrew Brayshaw,CD_I1002232,FRE,591800,MID,MID,9.6,109.8,25,CD_I1002232,23,,13.3,15.9,4.3,5.1,0,0,0.3,70,0,,83,109.8,0.196,109.8,103.7,116.5,109.8,,147,73,1.08,16,10,6,52,0,,79,84,0.91,-0.1,5390,13,13,13,30,6
Kieren Briggs,CD_I1008436,GWS,516300,RUC,RUC,2,95.8,25,CD_I1008436,24,,8.1,6.9,2,4.8,31.8,75,0.1,80,0,,74,94.9,0.27,94.9,86.5,105.2,95.8,84.5,148,47,1.01,10,4,12,82,0,,66,112,1.37,0,5389,13,13,13,19,8
Josh Treacy,CD_I1012819,FRE,454000,FWD,FWD,0.7,84.2,22,CD_I1012819,20,,7.9,4.2,6.1,2.2,3.2,8,2.3,7,0,,87,84.3,0.303,84.3,80.8,89.5,84.3,,135,32,0.78,5,3,14,12,0,,78,16,0.18,0,5386,10,10,13,17,8
Nasiah Wanganeen-Milera,CD_I1015507,STK,543700,DEF,DEF,7.9,100.9,22,CD_I1015507,22,,19.8,5.9,6.6,1.7,0,0,0,2,91,95,82,100.9,0.153,100.9,102.7,98.8,100.9,,134,69,1.01,12,2,4,0,2,100,85,107,1.05,0,5389,13,13,14,11,16
Josh Dunkley,CD_I993834,BRL,602300,MID,MID,1,111.7,28,CD_I993834,27,,12.4,12.9,5.6,6.2,0.1,1,0.2,80,0,,84,109.6,0.193,109.6,112.5,111.1,111.8,96.8,163,69,1.03,18,9,4,75,0,,69,99,1.25,0,5387,10,10,14,13,12
Jake Waterman,CD_I996554,WCE,447800,FWD,FWD,0.6,83.1,26,CD_I996554,20,,9.6,3.1,6.9,1.1,0.2,0,2.7,0,0,,91,83.1,0.402,83.1,94.9,71.3,83.1,,176,36,0.72,5,2,13,0,0,,35,43,0.98,0,5389,11,11,14,4,40
Bailey Dale,CD_I996708,WBD,528100,DEF,DEF,3,98,28,CD_I996708,24,1,17.5,7.3,6.1,1.5,0,0,0.2,0,102,93,82,96.7,0.352,100.4,98.9,97,98,67,175,12,0.93,10,7,10,,,,,,,0,5389,16,16,15,17,18
Luke Davies-Uniacke,CD_I1002267,NTH,588000,MID,MID,6.3,109.1,25,CD_I1002267,23,,13.7,14,3.7,3.9,0,0,0.5,82,0,,86,109.1,0.209,109.1,104.5,113.4,109.1,,152,67,1,15,6,4,79,0,,79,36,0.38,-0.1,5390,14,14,15,28,9
Reilly O'Brien,CD_I297523,ADE,502700,RUC,RUC,0.5,93.3,29,CD_I297523,21,,6.3,5.2,2.3,3.7,42.8,83,0.1,87,0,,86,93.3,0.223,93.3,89.1,98.9,93.3,,132,60,0.87,7,2,11,86,0,,81,169,1.66,0,5388,15,15,15,16,13
Riley Thilthorpe,CD_I1008384,ADE,370600,FWD,FWD,1.2,68.8,22,CD_I1008384,7,1,7.6,3.6,4.6,1.7,3.7,9,2.1,8,0,,76,76.4,0.318,82.8,,76.4,76.4,,110,38,0.78,2,0,4,11,0,,71,82,0.92,0,4851,48,26,15,,26
Max Holmes,CD_I1015889,GEE,533900,DEF/MID,DEF,23.3,99.1,22,CD_I1015889,25,,15,9.2,5.6,3,0,0,0.5,32,20,70,79,100.3,0.207,100.3,105,92.6,99.1,114,152,69,1,12,4,9,32,0,,65,108,1.39,1.2,5387,14,14,16,9,25
Jack Steele,CD_I296205,STK,585200,MID,MID,0.7,108.6,29,CD_I296205,23,,11.3,13,5.7,7.3,0,0,0.3,85,0,,84,108.6,0.182,108.6,111.9,105,108.6,,143,70,1.07,14,7,5,79,0,,79,111,1.17,0,5389,15,15,16,14,19
Jordon Sweet,CD_I992330,PTA,478400,RUC,RUC,2,88.8,27,CD_I992330,17,,4.2,5.7,2.1,5,35.2,78,0.2,79,0,,80,89.1,0.223,89.1,88,89.1,88.8,90.3,136,55,0.91,6,1,9,36,0,,43,62,1.23,0,5387,17,17,16,17,15
Liam Baker,CD_I1000223,WCE,443600,FWD/MID,FWD,4.5,82.3,27,CD_I1000223,18,,11.5,8.4,3.3,3.8,0,0,0.8,35,0,,81,82.3,0.292,82.3,84.1,80.6,82.3,,140,45,0.82,5,1,10,11,0,,73,62,0.73,-0.1,5390,13,13,16,15,22
James Sicily,CD_I297566,HAW,532900,DEF,DEF,7,98.9,30,CD_I297566,22,,15.3,6.2,7.6,1.4,0,0,0.4,0,42,100,91,100.2,0.244,100.2,95.8,102,98.9,113,147,43,0.88,13,4,6,0,3,100,93,52,0.45,-0.1,5388,15,15,17,19,12
Will Setterfield,CD_I998215,ESS,462300,MID,MID,0.7,85.8,27,CD_I998215,4,,12.3,10.5,4.3,6.8,0,0,0,58,0,,78,107.3,0.191,107.3,106,111,107.3,,126,73,1.08,3,1,1,76,0,,69,111,1.34,0,4308,56,18,17,21,13
Sam Walsh,CD_I1006094,CAR,583900,MID,MID,1.9,108.3,24,CD_I1006094,20,,13.4,15,3,6.8,0,0,0.3,70,0,,80,107.3,0.215,107.3,115,103.5,108.4,87,166,69,1.06,11,4,5,,,,,,,0,5387,16,16,17,11,24
Marc Pittonet,CD_I298290,CAR,484100,RUC,RUC,0.2,89.8,28,CD_I298290,14,,6.9,6.9,1.5,1.5,25.4,69,0.4,74,0,,71,88.8,0.226,88.8,94,86.3,89.8,75,122,49,0.99,3,1,8,32,0,,41,20,0.4,0,5391,16,16,17,12,18
Matthew Kennedy,CD_I1001398,WBD,414400,FWD/MID,FWD,1.8,76.9,27,CD_I1001398,24,3,10.2,7.5,4.4,3.4,0.5,3,0.7,33,0,,71,75.1,0.344,81.9,73.3,80.8,76.9,33,119,25,0.83,3,0,17,,,,,,,0,5389,25,25,17,34,21
Steven May,CD_I281085,MEL,487500,DEF,DEF,0.6,90.4,33,CD_I281085,19,,15.5,2.7,6.9,0.9,0,0,0.1,0,99,86,88,90.5,0.333,96.4,87.7,94.3,90.5,,131,12,0.83,7,2,5,0,0,,92,73,0.65,0,5387,26,26,18,30,20
Ned Moyle,CD_I1021013,GCS,462100,RUC,RUC,0.2,85.7,23,CD_I1021013,8,,6.4,7.1,2.6,2.9,28.4,73,0.1,77,0,,78,85.8,0.26,85.8,90.3,83,85.8,,110,33,0.88,2,0,3,,,,,,,0,5386,18,18,18,14,20
Shaun Mannagh,CD_I993878,GEE,405200,FWD,FWD,0.3,75.2,27,CD_I993878,12,1,11.8,4.4,2,4.5,0,0,1.3,1,0,,78,77.3,0.313,81.6,43,83.3,75.2,87.5,118,29,0.78,2,0,8,0,0,,27,44,1.36,0,5388,27,28,18,159,15
Nick Blakey,CD_I1006028,SYD,525200,DEF,DEF,1.1,97.4,24,CD_I1006028,26,,15.9,5,5.9,1.2,0,0,0.2,0,108,96,84,95.7,0.28,95.7,101.1,94.2,97.5,81.7,148,43,0.91,10,5,10,0,2,100,67,85,1.11,0,5387,17,17,19,12,21
Noah Anderson,CD_I1009199,GCS,574900,MID,MID,2.5,106.7,24,CD_I1009199,23,,15.7,13.2,4.7,3.1,0,0,0.6,81,0,,86,106.7,0.293,106.7,109.2,104,106.7,,155,50,0.99,11,10,6,82,0,,81,97,0.97,0.1,5388,18,19,19,17,20
Ivan Soldo,CD_I998529,PTA,447900,RUC,RUC,0.1,83.1,28,CD_I998529,8,,6.4,4.1,2.3,2.8,28,71,0.6,77,0,,87,83.1,0.34,83.1,87.3,54,83.1,,125,44,0.76,2,1,3,64,0,,60,73,1.04,0,5390,19,19,19,18,26
Tom Papley,CD_I996765,SYD,431100,FWD,FWD,0.5,80,28,CD_I996765,21,,10.7,4.1,3.8,1.2,0,0,1.7,16,0,,80,78.6,0.461,81.2,74.7,88.3,80,70,155,12,0.79,6,3,15,,,,,,,0,5389,17,17,19,31,9
Jack Macrae,CD_I295467,STK,392200,FWD,FWD,60.5,72.8,30,CD_I295467,19,4,7.7,10.7,3.4,3.3,0,0,0.3,12,0,,68,69.8,0.415,81.2,80.5,63.1,72.8,16,123,8,0.82,3,1,15,,,,,,,-0.1,5387,32,33,19,18,71
Andrew McGrath,CD_I998102,ESS,514000,DEF,DEF,0.5,95.4,26,CD_I998102,23,,13.5,9.3,4.7,2.7,0,0,0,0,74,96,83,95.4,0.217,95.4,99.2,91.3,95.4,,146,55,0.93,8,3,9,0,2,100,82,111,1.13,0,5388,19,19,20,15,26
Touk Miller,CD_I298272,GCS,552600,MID,MID,0.8,102.5,29,CD_I298272,18,,12.1,14.3,3.2,4.8,0,0,0.2,61,0,,79,102.6,0.26,106.6,111.8,84,102.6,,149,33,1.05,9,5,4,75,0,,79,116,1.19,0,5386,26,27,20,15,67
Toby Conway,CD_I1017063,GEE,343100,RUC,RUC,0.8,63.7,21,CD_I1017063,5,,4.8,8.8,2.4,3.6,24.4,65,0.2,76,0,,71,79.6,0.113,79.6,79.6,,79.6,,90,64,0.86,0,0,4,,,,,,,0,4310,24,20,20,23,
Colby McKercher,CD_I1024272,NTH,476900,DEF,DEF,10.3,88.5,19,CD_I1024272,16,,15.9,7.9,4.4,1.8,0,0,0,4,91,93,76,88.5,0.393,94,75.4,105.3,88.5,,146,6,0.91,5,3,7,0,2,100,78,55,0.59,-0.1,5389,28,28,21,67,8
Errol Gulden,CD_I1013128,SYD,581900,MID,MID,6.2,108,22,CD_I1013128,26,,19.8,7.3,5.6,3.5,0,0,0.6,36,1,100,91,106.5,0.225,106.5,104.5,111.2,108,94.7,157,73,0.94,13,6,7,46,0,,78,133,1.49,0,5388,17,17,21,28,11
Christian Petracca,CD_I298210,MEL,556200,MID,MID,4.4,103.2,29,CD_I298210,13,,11.4,12,4.5,3,0,0,1.1,56,0,,78,103.2,0.253,106.5,106.5,64,103.2,,146,59,1.08,6,3,4,61,0,,71,79,0.91,0,5390,25,26,21,20,120
Sam Draper,CD_I1005577,ESS,409200,RUC,RUC,2.1,75.9,26,CD_I1005577,16,,7.6,3.6,3.1,1.9,19.1,52,0.7,53,0,,77,75.9,0.348,75.9,58.3,86.5,75.9,,116,15,0.8,1,0,9,,,,,,,0,5391,20,21,21,28,17
Ben Keays,CD_I993946,ADE,436700,FWD,FWD,0.7,81,28,CD_I993946,23,,9.8,6.4,3.8,3.6,0,0,1.5,3,0,,87,81,0.356,81,66.3,97.2,81,,158,35,0.74,5,3,13,0,0,,80,79,0.79,0,5391,15,15,21,59,3
Mitchell Hinge,CD_I1004863,ADE,503600,DEF,DEF,0.2,93.4,26,CD_I1004863,22,,14.4,7.6,4.9,2.5,0,0,0.1,0,73,95,82,93.5,0.223,93.5,96.7,89.6,93.5,,139,59,0.91,9,3,11,0,3,100,86,47,0.44,0,5386,20,20,22,18,30
Rhys Stanley,CD_I280317,GEE,379000,RUC,RUC,0.7,70.3,34,CD_I280317,14,,5.9,3.8,2.4,2.4,26.7,65,0.3,78,0,,76,69.4,0.477,73.9,59,86.2,70.3,64,144,11,0.72,3,1,11,84,0,,81,67,0.69,0.1,5391,21,23,22,27,19
Jy Simpkin,CD_I993998,NTH,429300,FWD/MID,FWD,3.5,79.6,26,CD_I993998,18,,12.1,8.9,3.1,3.1,0,0,0.6,53,0,,85,79.7,0.303,79.7,57.9,93.5,79.7,,129,43,0.74,4,1,12,0,0,,20,24,1,0.2,5386,18,18,22,96,7
Daniel Rioli,CD_I1000981,GCS,500400,DEF,DEF,2.8,92.8,27,CD_I1000981,23,,12.6,10.7,4,3,0,0,0.3,0,34,100,84,92.9,0.236,92.9,87.9,98.3,92.9,,135,54,0.9,8,3,10,0,4,50,90,69,0.66,-0.1,5386,21,21,23,29,17
Matt Crouch,CD_I297401,ADE,568600,MID,MID,0.1,105.5,29,CD_I297401,15,,10.3,19.6,4.1,5.3,0,0,0,67,0,,71,105.5,0.134,105.5,109.3,95.3,105.5,,128,85,1.18,9,3,3,57,0,,59,114,1.54,0,5390,20,21,23,16,33
Nick Bryan,CD_I1011954,ESS,305200,RUC,RUC,1.3,56.6,23,CD_I1011954,5,,6.8,5.4,2.2,3,20.6,66,0,68,0,,69,70.8,0.142,70.8,81,68.3,70.8,,85,61,0.83,0,0,5,28,0,,33,21,0.53,0.1,4311,26,22,23,21,23
Sam Darcy,CD_I1017126,WBD,427000,FWD,FWD,4,79.2,21,CD_I1017126,21,,7.8,4.8,4.9,2.9,6.9,22,1.8,16,1,100,74,79,0.312,79,75.9,83.3,79.3,75,146,42,0.85,3,1,16,,,,,,,0,5385,19,19,23,27,15
Callum Wilkie,CD_I296422,STK,494300,DEF,DEF,0.4,91.7,28,CD_I296422,23,,11.7,5.7,7.7,1.3,0,0,0,0,1,100,100,91.7,0.285,91.7,84,100.2,91.7,,152,56,0.76,9,4,11,0,0,,100,123,1.03,0.1,5390,22,22,24,36,14
