"","feed_id","first_name","last_name","team_ff","disposals","dreamteam","supercoach","8","9","10","kicks","handballs","marks","tackles","hitouts","frees_for","frees_against","goals","behinds","gametime","icon_1","desc_1","icon_2","desc_2","25","26","27","28","position","jersey","31","32","33","34","35","36","37","38","39","contested_possessions","clearances","clangers","disposal_effeciency","time_on_ground","metres_gained","bench_flag"
"11",1006303,"Fergus","Greene","HW","16","67",84,"83","56","65","7","1","5","2","0","1","0","3","2"," Full Time","spearhead","%s from %O and %M plus %T... Starting forward on Murphy","","","191800","","123900","","Forward","26","0","0","0","7.53","7.92","4.47","200000","","","2","0","1","75",81,"183","0"
"12",1006314,"Dylan","Moore","HW","15","65",70,"78","56","69","9","6","4","0","0","2","0","2","0"," Full Time","tog","Did not appear after HT... %O and %M plus %s","wing","Roaming for kicks","846700","","521000","","Midfielder","13","0","0","0","3.18","2.82","6.19","826000","","","7","1","1","73",43,"340","1"
"13",1006030,"Jacob","Koschitzke","HW","10","60",57,"77","50","61","6","3","5","3","0","2","1","1","4"," Full Time","spearhead","%D and %M with %T... %s as well... Starting forward on Moore","","","450900","","305800","","Back","23","0","0","0","0.04","0.12","0.09","440000","","","4","0","1","22",83,"161","0"
"14",998390,"Changkuoth","Jiath","HW","8","60",71,"76","49","66","9","7","5","1","0","0","0","0","0"," Full Time","guard","%P and %M... Rotating at half back","","","603700","","427500","","Forward","9","0","0","0","0.74","1.09","2.03","589000","","","6","1","2","81",80,"170","0"
"15",1000864,"Lachlan","Bramble","HW","14","54",75,"67","50","66","8","7","5","0","0","1","2","1","0"," Full Time","guard","%D and %M plus %s... Running off half back","","","524500","","354200","","Midfielder","16","0","0","0","0.08","0.08","0.04","605000","","","3","1","2","100",86,"214","0"
"16",1000980,"Lloyd","Meek","HW","13","50",66,"55","46","54","2","7","1","1","15","2","0","1","0"," Full Time","spearhead","%H with %P... also %s... Playing a forward/ruck role","","","495700","","431100","","Ruck","17","0","0","0","7.84","4.63","10.42","473000","","","6","1","2","44",72,"91","0"
"17",280744,"Luke","Breust","HW","4","48",45,"61","39","51","7","4","4","1","0","0","0","0","3"," Full Time","wing","%s from %O and %M... Playing a half forward role","","","527800","","350300","","Forward","22","0","0","0","0.23","0.23","0.27","514000","","","6","0","2","36",77,"201","1"
"18",1007124,"Conor","Nash","HW","8","47",53,"62","35","48","4","5","3","4","0","0","0","0","0"," Full Time","shovel","%O and %M plus %T... Doing jobs in midfield","","","562800","","365200","","Back","11","0","0","0","0.27","0.23","0.20","549000","","","4","0","1","55",73,"118","0"
"19",1009421,"Finn","Maginness","HW","3","32",45,"40","27","39","3","7","1","2","0","1","1","0","0"," Full Time","tagger","%P and %T... Tagging Nick Daicos","","","491900","","264600","","Midfielder","32","0","0","0","0.27","0.55","0.22","480000","","","4","0","1","90",87,"109","0"
"20",1023680,"Henry","Hustwaite","HW","2","31",34,"40","25","33","4","3","3","1","0","0","0","0","0"," Full Time","tog","Spent the first half on the bench... %P and %M","shovel","Rotating in midfield","181400","","117300","","","44","0","0","0","0.58","0.78","0.59","228000","","","3","1","2","57",33,"135","0"
"21",1001024,"Ned","Reeves","HW","8","29",38,"34","29","34","2","1","1","1","13","1","2","1","0"," Full Time","ruck","%H with %P... also %s... In ruck","","","534800","","356500","","Ruck","7","0","0","0","0.70","0.69","0.62","522000","","","2","0","3","66",64,"61","0"
"22",1011839,"James","Blanck","HW","2","27",49,"36","20","30","5","3","0","2","0","1","1","0","0"," Full Time","job","%P and %T... Standing McStay","","","295000","","245000","","Back","36","0","0","0","0.12","0.11","0.24","271000","","","5","0","3","75",86,"102","0"
"23",293738,"Sam","Frost","HW","2","26",31,"34","19","24","3","2","1","2","0","2","0","0","0"," Full Time","tog","Did not appear after HT... %D and %T","job","In defence on Elliott","466800","","345500","","Back","8","0","0","0","0.00","0.11","0.14","455000","","","4","0","1","60",44,"79","1"
"24",993794,"Blake","Hardwick","HW","1","20",17,"26","14","21","6","1","0","0","0","0","0","0","0"," Full Time","tog","Did not appear after HT... %O with %k by foot","guard","Playing a HBF role","619000","","391700","","Forward","15","0","0","0","0.19","0.25","0.23","604000","","","0","0","2","71",59,"225","1"
"25",1010708,"Sam","Butler","HW","0","13",17,"17","9","12","2","1","0","1","0","1","0","0","0"," Full Time","tog","Spent the first half on the bench... %P","pocket","Rotating forward","328800","","197600","","Back","30","0","0","0","0.16","0.32","0.16","311000","","","1","0","0","66",36,"29","0"
"26",1013093,"Denver","Grainger-Barras","HW","1","6",9,"10","8","12","2","0","2","0","0","0","2","0","0"," Full Time","tog","Spent the first half on the bench... %M and %D","job","In defence","304100","","254300","","Back","24","0","0","0","0.62","0.32","1.01","297000","","","0","0","2","100",40,"101","0"
"27",1005054,"Josh","Daicos","CO","25","105",105,"62","87","115","18","8","9","1","0","0","1","1","1"," Full Time","hot","%s from %D and %M","wing","Playing midfield","708100","","428900","","Forward","7","0","0","0","1.20","1.49","2.21","691000","","","5","1","5","84",87,"639","0"
"28",291776,"Taylor","Adams","CO","26","103",100,"81","83","109","12","10","6","4","0","0","0","2","1"," Full Time","hot","First goal... %P and %M plus %T... %s as well","wing","Started forward","740100","","442100","","Back","13","0","0","0","0.62","0.57","0.53","722000","","","12","10","4","68",79,"374","0"
"29",293871,"Jack","Crisp","CO","21","100",111,"81","76","106","12","12","5","6","0","0","0","0","1"," Full Time","hot","%P and %M plus %T... %s as well","shovel","Starting in midfield","855800","","520300","","Midfielder","25","0","0","0","1.09","1.24","1.26","835000","","","4","3","1","79",85,"464","0"
"30",994185,"Jordan","De Goey","CO","14","96",120,"49","76","107","18","13","1","3","0","5","2","0","2"," Full Time","mrp","A slam tackle on Reeves in Q4 will be looked at... %P and %T plus %s... helped out by %4FF","shovel","Rotating midfield and forward","717700","","468700","","Midfielder","2","0","0","0","1.01","1.72","1.91","700000","","","12","8","5","77",69,"787","1"
"31",291856,"Tom","Mitchell","CO","20","91",101,"81","77","111","8","20","4","5","0","1","2","0","0"," Full Time","shovel","%2 Newcombe... %D with %b by hand... also %T and %M... Playing in midfield","","","874100","","528600","","Midfielder","6","0","0","0","35.60","26.71","33.03","853000","","","16","3","6","78",76,"107","0"
"32",1003130,"Patrick","Lipinski","CO","20","90",93,"69","80","104","10","12","7","1","0","0","1","2","2"," Full Time","injured","Left shoulder injured in a clash with Butler in Q4 and iced up... %O and %M plus %s","wing","Starting on a HFF","729100","","472700","","Midfielder","1","0","0","0","0.93","1.20","1.09","711000","","","7","2","3","72",75,"282","1"
"33",298288,"Darcy","Moore","CO","13","77",98,"58","67","87","10","9","9","1","0","1","1","0","0"," Full Time","job","%D and %M... In defence on Koschitzke","","","511000","","455100","","Forward","30","0","0","0","1.13","1.01","2.16","499000","","","3","0","1","94",84,"345","0"
"34",990291,"Darcy","Cameron","CO","11","77",97,"54","60","72","11","0","4","3","18","2","0","0","0"," Full Time","ruck","%H... also %D and %T... First ruck","","","743500","","465900","","Ruck","14","0","0","0","35.75","34.00","24.61","725000","","","6","3","1","90",78,"121","0"
"35",1000072,"John","Noble","CO","9","74",84,"48","56","75","12","6","4","3","0","2","0","0","0"," Full Time","guard","%O and %M plus %T... Playing back pocket","","","619400","","408700","","Back","9","0","0","0","0.27","0.23","0.30","604000","","","3","0","2","83",78,"475","0"
"36",291849,"Brody","Mihocek","CO","11","61",66,"49","52","63","7","2","5","2","0","1","1","2","3"," Full Time","sore","Corked right thigh in Q3... %D with %k by foot... also %M and %T... and kicked %s","spearhead","Playing CHF on Sicily","504300","","328100","","Back","41","0","0","0","0.16","0.33","0.39","492000","","","5","0","2","66",83,"109","0"
"37",1023261,"Nick","Daicos","CO","12","58",72,"41","43","66","9","8","0","5","0","1","2","0","0"," Full Time","tagged","Tagged by Maginness... %D and %T","guard","Starting off a HBF","787700","","502500","","Midfielder","35","0","0","0","39.91","45.19","43.39","769000","","","3","1","3","88",81,"255","1"
"38",260257,"Scott","Pendlebury","CO","10","57",48,"51","43","58","6","5","4","4","0","0","0","0","1"," Full Time","tog","Did not appear after 3QT... %P and %M plus %T... %s as well","shovel","Starting in midfield","770300","","520700","","Midfielder","10","0","0","0","0.50","0.30","0.46","752000","","","4","2","2","72",52,"167","0"
"39",1008089,"Isaac","Quaynor","CO","8","55",58,"43","48","72","7","11","3","3","0","0","3","0","0"," Full Time","guard","%P and %M plus %T... gave away %F... Rotating at half back","","","534300","","376700","","Back","3","0","0","0","0.58","1.57","1.51","522000","","","6","1","6","61",80,"311","0"
"40",998647,"Mason","Cox","CO","14","55",50,"50","47","55","4","1","1","3","28","1","1","0","0"," Full Time","spearhead","%D with %k by foot... also %T... Playing a ruck/forward role","","","533200","","335100","","Forward","46","0","0","0","0.54","0.85","0.78","520000","","","2","2","3","60",62,"146","0"
"41",293801,"Jamie","Elliott","CO","10","54",65,"40","47","58","7","2","5","1","0","0","1","2","1"," Full Time","tog","Did not appear after 3QT... Kicked %s from %G and %O","pocket","Starting forward","658200","","418400","","Forward","5","0","0","0","0.62","0.65","0.90","642000","","","3","0","1","66",58,"152","1"
"42",280965,"Steele","Sidebottom","CO","9","47",49,"22","39","54","10","2","3","1","0","0","2","1","0"," Full Time","wing","%D including %K... also %M... and booted %s... Starting on a HFF","","","640000","","409200","","Midfielder","22","0","0","0","0.50","0.33","0.73","624000","","","2","0","5","66",83,"348","0"
"43",1005107,"Nathan","Murphy","CO","9","44",54,"44","32","42","4","2","4","4","0","0","0","0","0"," Full Time","job","%D and %M with %T... In defence on Greene","","","407100","","337100","","Back","28","0","0","0","0.27","0.08","0.32","397000","","","1","0","0","100",83,"163","0"
"44",1013278,"Reef","McInnes","CO","9","40",38,"27","34","39","6","0","5","0","0","1","0","1","0"," Full Time","tog","Spent the first half on the bench... %D with %b by hand... also %M... and kicked %s","wing","Rotating forward","270200","","176200","","Midfielder","26","0","0","0","0.27","0.27","0.35","280000","","","2","0","2","66",36,"127","0"
"45",297504,"Daniel","McStay","CO","9","40",29,"29","35","43","5","2","2","1","0","1","1","2","1"," Full Time","spearhead","%O with %k by foot... also %M... and scored %s... Up forward on Blanck","","","557600","","360800","","Back","11","0","0","0","0.31","0.44","0.38","544000","","","4","0","3","57",92,"77","0"
"46",991773,"Billy","Frampton","CO","2","35",46,"24","23","33","6","1","1","3","0","0","0","0","0"," Full Time","job","%P with %k by foot... also %T... In defence","","","567800","","408000","","Ruck","17","0","0","0","0.35","0.44","0.25","542000","","","1","0","0","85",96,"218","0"
"47",291313,"Jeremy","Howe","CO","2","32",32,"13","25","33","7","2","2","0","0","1","0","0","0"," Full Time","tog","Did not appear after 3QT... %D with %k by foot... also %M","job","In defence","599600","","463800","","Back","38","0","0","0","0.85","0.40","0.85","584000","","","2","0","2","77",57,"184","1"
"48",298358,"Oleg","Markov","CO","2","29",32,"20","25","33","4","4","3","0","0","0","0","0","0"," Full Time","tog","Spent the first half on the bench... %M and %D","guard","Rotating on a HBF","","","","","Back","17","17","72.5294","75.7647","0.00","0.00","0.00","","","","1","0","0","75",39,"117","0"
"49",1006148,"Bobby","Hill","CO","7","25",51,"14","21","27","4","2","1","0","0","0","0","1","0"," Full Time","wing","%D and %s... Starting at half forward","","","382900","","221700","","","23","0","0","0","0.43","1.01","0.79","374000","","","1","0","0","100",69,"222","0"
"50",1004757,"Beau","McCreery","CO","1","20",16,"17","18","27","2","5","1","1","0","0","1","0","0"," Full Time","pocket","%B among %P... Starting deep forward","","","449900","","315400","","Forward","31","0","0","0","0.23","0.16","0.20","439000","","","1","0","4","57",71,"162","0"
"51",1027021,"Josh","Carmichael","CO","0","19",18,"16","15","19","2","2","1","1","0","1","0","0","1"," Full Time","tog","Spent the first half on the bench... %P and %s","shovel","Rotating in midfield","441200","","218900","","Midfielder","45","0","0","0","0.31","0.68","0.49","421000","","","1","0","0","50",27,"55","0"
"52",291720,"Will","Hoskin-Elliott","CO","6","18",42,"18","15","18","1","1","1","1","0","0","0","1","0"," Full Time","tog","Spent the first half on the bench... %s from %P","wing","Starting forward","525700","","330900","","Forward","32","0","0","0","0.19","0.20","0.10","513000","","","2","1","0","100",22,"15","0"
"53",998129,"Will","Brodie","FR","32","116",117,"145","97","138","13","23","4","6","0","4","3","0","0"," Full Time","hot","%D and %M with %T... umps paid him %4FF... gave away %F","shovel","Rotating in midfield","866100","","563600","","Midfielder","17","0","0","0","0.58","0.66","0.85","845000","","","16","9","7","75",76,"378","1"
"54",998145,"Sean","Darcy","FR","40","109",127,"134","94","116","5","9","4","8","38","3","3","0","0"," Full Time","hot","Cut in the eye region drew a bit of claret but pushed through... %H... also %D and %T... helped out by %4FF... gave away %F","ruck","First ruck","779300","","562200","","Ruck","4","0","0","0","2.48","5.16","3.37","760000","","","10","5","3","78",85,"127","0"
"55",1002232,"Andrew","Brayshaw","FR","21","107",84,"135","87","126","20","16","4","2","0","1","2","0","0"," Full Time","hot","%O and %M plus %T","shovel","Playing in midfield","1020000","","615600","","Midfielder","8","0","0","0","15.80","14.85","17.16","995000","","","6","3","9","75",78,"469","0"
"56",997033,"Brennan","Cox","FR","26","107",130,"137","87","111","16","7","10","2","0","1","0","1","0"," Full Time","hot","%O and %M plus %T... %s as well","job","Starting in defence on Marshall","593500","","445400","","Back","36","0","0","0","0.16","0.14","0.37","579000","","","2","0","0","95",78,"521","1"
"57",1009420,"Caleb","Serong","FR","15","101",86,"125","80","113","17","15","3","2","0","1","0","0","2"," Full Time","hot","%O and %M plus %T... %s as well","shovel","Rotating in midfield","796100","","498800","","Midfielder","3","0","0","0","2.45","1.54","3.91","777000","","","14","8","2","50",78,"611","0"
"58",1006152,"Jordan","Clark","FR","15","97",88,"127","80","108","15","9","9","3","0","1","2","0","0"," Full Time","wing","%D and %M with %T... Playing a HBF role","","","739400","","482300","","Back","6","0","0","0","0.93","0.50","0.82","722000","","","7","0","4","70",93,"240","0"
"59",294613,"Jaeger","O'Meara","FR","21","90",80,"117","71","99","13","9","4","5","0","1","2","1","0"," Full Time","shovel","%O and %M plus %T... %s as well... In the engine room","","","745700","","472400","","Midfielder","2","0","0","0","0.85","0.55","1.04","727000","","","7","5","5","72",74,"373","0"
"60",291570,"Nat","Fyfe","FR","25","83",90,"103","71","89","10","5","6","2","0","0","1","3","2"," Full Time","cannon","%O and %M plus %T... %s as well... Starting forward on Jonas but picked up McKenzie late","","","458700","","313600","","Midfielder","7","0","0","0","30.55","38.69","4.33","681000","","","6","0","2","73",81,"237","0"
"61",1005988,"Liam","Henry","FR","13","72",75,"94","58","73","14","2","8","0","0","1","0","0","1"," Full Time","pocket","%s from %P and %M... Playing a small forward role","","","355400","","202300","","Forward","23","0","0","0","1.16","1.04","1.39","339000","","","5","1","0","81",83,"372","0"
"62",294125,"Nathan","Wilson","FR","12","72",92,"95","58","78","14","4","7","1","0","0","1","0","0"," Full Time","guard","%O including %K... also %M... Playing small defender","","","443000","","264300","","Back","14","0","0","0","0.27","0.38","0.20","415000","","","3","0","3","88",78,"384","0"
"63",996580,"Ethan","Hughes","FR","8","66",78,"84","53","72","11","7","5","1","0","0","0","0","0"," Full Time","wing","%M and %O... Lining up on a wing","","","453200","","283700","","Back","15","0","0","0","0.97","0.37","0.39","470000","","","6","2","1","88",81,"387","0"
"64",1013224,"Heath","Chapman","FR","9","65",59,"85","54","75","9","8","5","3","0","1","2","0","0"," Full Time","job","%O and %M plus %T... Playing tall defender","","","628800","","417700","","Back","27","0","0","0","0.12","0.15","0.39","614000","","","3","1","3","82",72,"216","1"
"65",1000860,"Lachie","Schultz","FR","4","63",43,"82","47","61","10","3","3","3","0","2","0","0","4"," Full Time","butcher","Only preseason I suppose... %O with %k by foot... also %M and %T... and booted %s","wing","Playing a half forward role","587500","","383600","","","5","0","0","0","0.19","0.12","0.35","573000","","","3","0","2","38",75,"210","0"
"66",998180,"Bailey","Banfield","FR","14","63",82,"86","41","58","8","3","1","7","0","1","0","0","1"," Full Time","wing","%P including %K... also %T... and kicked %s... Playing a half forward role","","","360600","","233700","","Midfielder","41","0","0","0","0.47","0.27","0.39","352000","","","7","1","0","81",91,"219","0"
"67",295067,"James","Aish","FR","8","61",53,"76","53","72","10","9","5","0","0","1","1","0","0"," Full Time","wing","%P and %M... Playing an outside game","","","715000","","431800","","Midfielder","11","0","0","0","0.04","0.12","0.24","698000","","","1","0","3","78",93,"280","0"
"68",298409,"Alex","Pearce","FR","4","58",81,"75","44","54","8","4","3","3","0","5","0","0","0"," Full Time","job","%D and %M with %T... helped out by %4FF... In defence on Dixon","","","414700","","328600","","Back","25","0","0","0","0.39","0.25","0.38","405000","","","10","0","2","75",92,"123","0"
"69",1013611,"Sam","Sturt","FR","11","56",80,"70","46","57","4","4","4","3","0","0","0","2","0"," Full Time","wing","%s from %O and %M plus %T... Rotating at half forward","","","191800","","123900","","Forward","1","0","0","0","1.86","1.13","3.90","200000","","","4","0","0","100",84,"135","0"
"70",1009256,"Hayden","Young","FR","7","55",79,"68","47","66","10","9","3","0","0","1","1","0","0"," Full Time","guard","%M and %D... Rotating at half back","","","795200","","508200","","Back","26","0","0","0","11.34","8.99","11.92","776000","","","5","0","2","78",79,"353","0"
"71",1012819,"Josh","Treacy","FR","11","54",91,"65","48","60","6","4","3","1","6","0","1","2","0"," Full Time","spearhead","%s from %D and %M... Playing a ruck/forward role","","","274200","","200400","","Forward","35","0","0","0","0.35","0.19","0.28","310000","","","6","2","1","100",81,"242","0"
"72",293854,"Matt","Taberner","FR","11","54",74,"67","50","64","6","5","5","1","0","0","2","2","1"," Full Time","spearhead","%s from %O and %M... Starting at half forward on Aliir","","","509800","","311300","","Forward","20","0","0","0","0.16","0.11","0.19","498000","","","8","0","3","81",83,"114","0"
"73",992059,"Sam","Switkowski","FR","10","51",66,"62","43","54","6","4","3","1","0","0","0","2","0"," Full Time","pocket","%D and %M plus %s... Starting forward","","","571200","","430800","","","39","0","0","0","0.27","0.09","0.14","557000","","","3","1","0","80",68,"267","0"
"74",1009410,"Brandon","Walker","FR","4","39",45,"51","34","45","7","3","5","0","0","0","1","0","0"," Full Time","guard","%M and %P... Rotating in defence","","","491600","","304300","","Back","31","0","0","0","0.16","0.23","0.23","480000","","","3","0","3","80",75,"102","0"
"75",1016825,"Matthew","Johnson","FR","0","7",9,"8","6","9","1","2","0","0","0","0","0","0","0"," Full Time","tog","Didn't play in the first three quarters... %P","shovel","Rotating in midfield","191800","","123900","","Midfielder","44","0","0","0","28.77","21.49","21.78","200000","","","2","1","1","100",24,"88","0"
"76",1009191,"Miles","Bergman","PA","26","107",119,"65","85","111","18","7","8","2","0","1","0","1","0"," Full Time","hot","%O including %K... also %M and %T... and scored %s","wing","Loping up and down a wing","630000","","374900","","Midfielder","14","0","0","0","0.08","0.15","0.12","615000","","","10","1","2","72",80,"651","1"
"77",1001299,"Connor","Rozee","PA","24","105",111,"89","84","112","11","14","7","5","0","2","0","0","1"," Full Time","hot","%s from %P and %M plus %T","shovel","Playing midfield","799700","","513800","","Forward","20","0","0","0","41.46","36.18","41.81","780000","","","10","6","1","84",92,"404","0"
"78",1006096,"Xavier","Duursma","PA","14","97",86,"53","77","100","18","6","8","1","0","2","0","0","1"," Full Time","wing","%D including %K... also %M... and booted %s... Playing an outside game","","","500900","","282300","","Midfielder","7","0","0","0","0.97","1.40","2.47","489000","","","7","3","2","79",82,"425","0"
"79",294318,"Ollie","Wines","PA","20","94",70,"67","79","108","13","13","8","2","0","0","1","0","0"," Full Time","shovel","%P and %M plus %T... Playing inside midfield","","","887500","","580700","","Midfielder","16","0","0","0","1.86","0.95","1.27","866000","","","9","0","2","61",73,"277","0"
"80",1011640,"Jason","Horne-Francis","PA","21","81",70,"50","65","97","16","5","5","6","0","1","6","0","1"," Full Time","shovel","%s from %P and %M plus %T... gave away %F... Rotating between midfield and forward","","","566000","","348800","","Forward","18","0","0","0","11.02","12.19","12.07","553000","","","6","3","9","61",80,"530","0"
"81",1000972,"Willem","Drew","PA","25","76",73,"76","56","81","6","11","2","8","0","1","1","0","0"," Full Time","shovel","%D and %M with %T... Rotating in midfield","","","673500","","469800","","Midfielder","28","0","0","0","0.19","0.07","0.13","657000","","","7","4","1","76",67,"155","0"
"82",994295,"Dan","Houston","PA","13","76",72,"22","59","84","19","6","3","0","0","1","1","0","0"," Full Time","guard","%P including %K... also %M... Lurking at half back","","","835200","","545100","","Back","5","0","0","0","2.21","1.10","1.59","815000","","","4","0","3","68",84,"528","0"
"83",1002253,"Kane","Farrell","PA","12","68",69,"36","55","72","13","4","7","0","0","0","0","0","0"," Full Time","guard","%O including %K... also %M... Starting at half back","","","604800","","403300","","Forward","6","0","0","0","0.23","0.06","0.19","590000","","","3","2","1","76",83,"326","0"
"84",1006121,"Zak","Butters","PA","9","60",67,"42","51","70","9","7","5","2","0","1","2","0","1"," Full Time","wing","%s from %O and %M plus %T... Rotating between midfield and forward","","","783400","","529400","","Forward","9","0","0","0","11.57","9.98","6.83","764000","","","7","3","2","87",83,"288","0"
"85",993979,"Sam","Powell-Pepper","PA","11","60",78,"31","50","69","12","2","3","2","0","0","3","2","0"," Full Time","wing","First goal... %D with %k by foot... also %M and %T... and scored %s... not helped by %F... Starting at half forward","","","696900","","408400","","Midfielder","2","0","0","0","0.19","0.16","0.32","680000","","","8","0","4","64",86,"397","0"
"86",992128,"Ryan","Burton","PA","8","59",81,"22","45","60","14","1","5","0","0","0","0","0","0"," Full Time","guard","%D including %K... also %M... Playing a HBF role","","","722100","","455000","","Back","3","0","0","0","0.23","0.10","0.16","704000","","","3","0","0","100",76,"380","1"
"87",991930,"Darcy","Byrne-Jones","PA","8","55",68,"35","46","63","9","6","5","1","0","0","1","0","0"," Full Time","guard","%M and %P... Playing small defender","","","712000","","460400","","Back","33","0","0","0","0.12","0.16","0.20","694000","","","4","0","1","86",60,"157","1"
"88",1004998,"Todd","Marshall","PA","9","53",52,"44","40","52","7","2","4","4","0","2","1","0","1"," Full Time","spearhead","%s from %D and %M with %T... Starting forward with Cox for company","","","633700","","425000","","Forward","4","0","0","0","0.08","0.10","0.20","618000","","","5","0","1","66",81,"123","0"
"89",292145,"Tom","Jonas","PA","8","52",60,"35","44","54","8","3","7","0","0","1","0","0","0"," Full Time","job","%D including %K... also %M... In defence on Fyfe","","","488500","","344500","","Back","1","0","0","0","0.16","0.20","0.17","476000","","","4","0","1","72",92,"223","0"
"90",1013462,"Jase","Burgoyne","PA","5","49",36,"40","43","60","6","7","5","2","0","0","2","0","0"," Full Time","wing","%O and %M plus %T... Playing an outside game","","","492500","","298000","","Midfielder","36","0","0","0","0.43","0.30","0.63","486000","","","2","0","3","84",83,"57","0"
"91",280711,"Charlie","Dixon","PA","10","48",50,"41","40","51","4","6","1","2","6","1","0","1","0"," Full Time","switch","%s from %O and %T... At FF on Pearce... Moved into the ruck in the second half","","","616500","","488200","","Forward","22","0","0","0","0.08","0.12","0.16","601000","","","7","4","4","70",82,"193","0"
"92",290746,"Scott","Lycett","PA","9","45",36,"43","47","55","2","6","4","0","19","2","2","0","0"," Full Time","tog","Ruck rotation limiting game time... %H... also %P and %M","ruck","Splitting time in the ruck","590300","","429900","","Ruck","29","0","0","0","8.15","2.93","5.10","622000","","","4","4","2","87",60,"15","0"
"93",296334,"Orazio","Fantasia","PA","8","44",48,"36","33","42","5","3","1","3","0","2","0","1","0"," Full Time","wing","%s from %D and %T... Starting at half forward","","","351100","","203300","","Forward","13","0","0","0","0.85","1.99","0.68","400000","","","5","0","1","62",80,"201","1"
"94",294469,"Aliir","Aliir","PA","3","43",54,"27","34","45","7","4","3","1","0","1","0","0","0"," Full Time","job","%M and %P... In defence on Taberner","","","489700","","406800","","Back","21","0","0","0","0.66","0.72","1.64","477000","","","7","0","4","54",90,"52","0"
"95",1017255,"Francis","Evans","PA","10","42",52,"36","36","46","4","3","2","2","0","0","1","2","1"," Full Time","tog","Didn't play in the first half... %s from %O and %M plus %T","wing","Playing forward","274200","","136500","","Forward","31","0","0","0","0.50","0.98","0.18","274000","","","3","0","1","71",35,"140","0"
"96",1010174,"Mitch","Georgiades","PA","3","35",20,"28","28","39","5","3","2","3","0","2","2","0","0"," Full Time","sore","Came off in Q3 with a hamstring issued and returned but eventually rubbed out... %P and %M plus %T","spearhead","Playing the third tall forward role","504500","","319300","","Forward","19","0","0","0","0.31","0.22","0.32","492000","","","1","0","3","62",58,"26","1"
"97",1004819,"Jed","McEntee","PA","2","32",18,"27","22","30","4","2","1","3","0","1","0","0","0"," Full Time","pocket","%D and %T... Playing a pressure forward role","","","365300","","228600","","Forward","41","0","0","0","0.04","0.03","0.03","360000","","","4","0","3","33",56,"62","0"
