"Pos","Pos2","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","Av.24","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","Role.24","Gm.24","Age","Notes"
"Mid","","Matt Crouch","ADE","27.8","No DPP   No Inj Adjustment.","","","0.5","","15.1","101.9","98","47","High","No","297401","","","","","In.mid","15","29","Role: Good inside mid, however, risky pick as Adelaide may look for youth in midfield. Likely to play midfield."
"Mid","Fwd","Caleb Daniel","NTH","-8.6","Mid: -21.2  Fwd: -8.6  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","16.8","Mid: 16.8  Fwd: 24.0","-1.2","52.9","78.6","48","Low","Yes","295136","","","","","Gen Fwd","16","28","Role: Half back  distributor. Move may see him score in 90s. Some soft tissue history."
"Mid","","Connor Rozee","PTA","21.6","No DPP   No Inj Adjustment.","","","1","","14.6","95.7","92.8","49","Low","No","1001299","","","","","In.mid","23","25",""
"Mid","","Luke Davies-Uniacke","NTH","21.8","No DPP   No Inj Adjustment.","","","1","","14.6","95.9","98.3","50","Low","No","1002267","","","","","In.mid","23","25",""
"Def","","Colby McKercher","NTH","17.8","No DPP   No Inj Adjustment.","","","1.8","","13.8","82.3","88.9","51","Medium","No","1024272","","","","","Distributor","16","19","Role: Wing/Fwd rotation. Good scorer, half back role will see scoring increase."
"Mid","","Tim Taranto","RIC","21.4","No DPP   No Inj Adjustment.","","","1.1","","14.5","95.5","96.3","52","Medium","No","998172","","","","","In.mid","15","27","Main midfielder in a poor side. Caution, may have high market share but Richmond will be a poor scoring side in 2025, so scoring less likely to increase."
"Mid","Fwd","Matthew Kennedy","WBD","13.3","Mid: 0.7  Fwd: 13.3  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","5.8","Mid: 5.8  Fwd: 6.3","9.8","74.8","77.4","53","Low","Yes","1001398","","","","","Out.mid","24","27","Role: Injuries to Trelar could see more mid time early in the season. Scores well when given TOG. Punt. Likely end of tier 2/teir3 forward."
"Mid","","Jai Newcombe","HAW","14.2","No DPP   No Inj Adjustment.","","","2.1","","13.5","88.3","97.8","54","Low","No","1020895","","","","","In.mid","25","23","Main midfielder alongside Day, scoring seems capped by Hawthorn game style."
"Def","","Bailey Dale","WBD","27","No DPP   No Inj Adjustment.","","","0.6","","15","91.5","87.1","55","Low","No","996708","","","","","Distributor","24","28",""
"Mid","","Matt Rowell","GCS","19.6","No DPP   No Inj Adjustment.","","","1.3","","14.3","93.7","90.9","56","Low","No","1009208","","","","","In.mid","23","23",""
"Def","","Tom Stewart","GEE","23","No DPP   No Inj Adjustment.","","","1","","14.6","87.5","92","57","Low","No","291800","","","","","Distributor","23","31","Role: Distributor & Mid. Age and regular injuries a risk for Stewart."
"Mid","","Josh Daicos","COL","20.7","No DPP   No Inj Adjustment.","","","1.1","","14.5","94.8","91.6","58","Low","No","1005054","","","","","Distributor","23","26","Role: May play some half back. Scoring may not increase."
"Mid","","Clayton Oliver","MEL","3.6","No DPP   No Inj Adjustment.","","","4.8","","10.8","77.7","104.7","59","Low","No","996701","","","","","In.mid","21","27","Poor score in 2024 due to injury interruption and poor pre-season"
"Def","","Jayden Short","RIC","16","No DPP   No Inj Adjustment.","","","2.1","","13.5","80.5","85.1","60","Low","No","992049","","","","","Distributor","22","29","Injured in 2024, mid 90s scorer. Likely upside with increased kick ins and healthy body."
"Mid","Fwd","Jy Simpkin","NTH","14.7","Mid: 2.1  Fwd: 14.7  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","5.3","Mid: 5.3  Fwd: 5.6","10.3","76.2","81.4","61","Low","Yes","993998","","","","","Out.mid","18","26","Role: Rotation between midfield and forward. May get more midfield minutes with wardlaw injury."
"Mid","","Hugh McCluggage","BRL","24.1","No DPP   No Inj Adjustment.","","","0.8","","14.8","98.2","93.9","62","Low","No","1000978","","","","","Out.mid","27","26","Interrupted pre-season: Rehab group, foot."
"Def","","Karl Amon","HAW","22","No DPP   No Inj Adjustment.","","","1.1","","14.5","86.5","85.2","63","Low","No","297354","","","","","Distributor","25","29","Decent scorer off half-back. Sicily moves forward his scoring should increase."
"Mid","","Christian Petracca","MEL","15.9","No DPP   No Inj Adjustment.","","","1.8","","13.8","90","95","64","Medium","No","298210","","","","","In.mid","13","29","Interrupted pre-season: cracked ribs. Role: likely inside mid."
"Mid","","Chad Warner","SYD","18.9","No DPP   No Inj Adjustment.","","","1.4","","14.2","93","88","65","Low","No","1012014","","","","","Out.mid","25","23",""
"Fwd","","Jeremy Cameron","GEE","22.6","No DPP   No Inj Adjustment.","","","2.8","","12.8","84.1","85.4","66","Low","No","293845","","","","","Key Fwd","24","31","Scores well for a forward if body holds up. Second tier of forwards. Age risk."
"Def","","Liam Duggan","WCE","24.2","No DPP   No Inj Adjustment.","","","0.9","","14.7","88.7","85.2","67","Low","No","298268","","","","","Distributor","21","28","Role: Distributor with some mid time."
"Mid","","Will Ashcroft","BRL","12.5","No DPP   No Inj Adjustment.","","","2.4","","13.2","86.6","88","68","Medium","No","1023517","","","","","Out.mid","13","20","Likely to improve scoring, may easily hit 100 in non-custom scoring leagues."
"Fwd","","Jesse Hogan","GWS","16.3","No DPP   No Inj Adjustment.","","","4.9","","10.7","77.8","80.5","69","Low","No","296324","","","","","Key Fwd","25","29",""
"Ruck","Fwd","Luke Jackson","FRE","17.2","Ruck: -7.5  Fwd: 17.2  No Inj Adjustment.","","Ruck: Inf  Fwd: Inf","0","Fwd: 4.5  Ruck: 0.0","15.6","78.7","77.4","70","Low","Yes","1009399","","","","","Ruck","23","23","Role: Scoring boosts when Darcy is injured. Early scoring will be higher if the sole ruck."
"Mid","","Touk Miller","GCS","19","No DPP   No Inj Adjustment.","","","1.4","","14.2","93.1","98.2","71","Low","No","298272","","","","","Out.mid","18","28","Previously highest season scorer, beginning to get phased out of midfield."
"Fwd","","Elijah Hollands","CAR","13.1","No DPP   No Inj Adjustment.","","","6.4","","9.2","74.6","75.9","72","Low","No","1012862","","","","","Gen Fwd","22","22","Ability to score well as a forward. May improve scoring. L5 av higher due to injuries."
"Fwd","","Connor Macdonald","HAW","15.9","No DPP   No Inj Adjustment.","","","5.1","","10.5","77.4","83.8","73","Low","No","1017094","","","","","Gen Fwd","25","22","Second tier forward, scored very well in second half of season."
"Ruck","","Darcy Cameron","COL","10","No DPP   No Inj Adjustment.","","","0","","15.6","96.2","97.7","74","Low","No","990291","","","","","Ruck","23","29",""
"Mid","Fwd","Mason Wood","STK","21.1","Mid: 8.5  Fwd: 21.1  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","3.2","Mid: 3.4  Fwd: 3.2","12.4","82.6","84.4","75","High","Yes","295340","","","","","Gen Fwd","18","31","Role: Forward/wing, been a good scorer for two years."
"Mid","","Hayden Young","FRE","18.8","No DPP   No Inj Adjustment.","","","1.4","","14.2","92.9","88.7","76","Low","No","1009256","","","","","In.mid","23","23","Interrupted pre-season: leg fracture from 2024 and hamstring. Monitor pre-season. Role: Midfielder with forward rotation. DPP punt."
"Def","","Andrew McGrath","ESS","19.7","No DPP   No Inj Adjustment.","","","1.4","","14.2","84.2","82.1","77","Low","No","998102","","","","","Distributor","23","26",""
"Def","","Jordan Ridley","ESS","23.9","No DPP   No Inj Adjustment.","","","0.9","","14.7","88.4","86.4","78","High","No","1001026","","","","","Def","9","26","Interrupted pre-season: Hamstring strain."
"Ruck","","Lloyd Meek","HAW","4.4","No DPP   No Inj Adjustment.","","","0","","15.6","90.6","77.9","79","Medium","No","1000980","","","","","Ruck","21","26","Role: Sole ruck for HAW. Scoring likely consistent if this remains."
"Def","","Mason Redman","ESS","19.4","No DPP   No Inj Adjustment.","","","1.5","","14.1","83.9","82.2","80","Low","No","997078","","","","","Distributor","21","27",""
"Mid","","Jye Caldwell","ESS","20.4","No DPP   No Inj Adjustment.","","","1.2","","14.4","94.5","93.1","81","Medium","No","1006103","","","","","Out.mid","23","24","Role: Full Mid. Post-season hip surgery, looks to have recovered."
"Ruck","","Reilly O'Brien","ADE","4.8","No DPP   No Inj Adjustment.","","","0","","15.6","91","90.1","82","Low","No","297523","","","","","Ruck","21","29","Role: Likely sole ruck, sometimes dropped due to poor performance."
"Mid","","Josh Kelly","GWS","19","No DPP   No Inj Adjustment.","","","1.4","","14.2","93.1","94.3","83","Low","No","296347","","","","","Out.mid","17","29",""
"Mid","","Darcy Parish","ESS","16","Inj Adjust: -1.4","","","1.6","","14","91.6","101.5","84","Medium","No","993817","","","","","Out.mid","12","27","Injured: Back & hammy strain. Likely won't play Rd1."
"Ruck","","Kieren Briggs","GWS","6.1","No DPP   No Inj Adjustment.","","","0","","15.6","92.3","98.3","85","Medium","No","1008436","","","","","Ruck","24","25","Role: some injury impacts in 2024, full health will see 10 points upside."
"Def","Mid","Trent Rivers","MEL","17.5","Def: 17.5  Mid: 7.9  No Inj Adjustment.","","Def: Inf  Mid: Inf","1.8","Mid: 3.5  Def: 1.8","13.8","82","80.3","86","Medium","Yes","1009378","","","","","Out.mid","23","23","Role: Midfielder role likely to continue. However, could be moved to defence."
"Def","","Matt Roberts","SYD","10.4","No DPP   No Inj Adjustment.","","","3.6","","12","74.9","79.8","87","Low","No","1012210","","","","","Distributor","23","21","Role: Has take a distributor role and is getting more use. Will likely score 85 to 95."
"Mid","Fwd","Ryley Sanders","WBD","2.4","Mid: -10.2  Fwd: 2.4  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","10.8","Mid: 10.8  Fwd: 13.5","4.8","63.9","62","88","Medium","Yes","1017939","","","","","Gen Fwd","14","20","Role: Like full time Mid while Treloar is out."
"Fwd","","Charlie Curnow","CAR","10.8","Inj Adjust: -1.4","","","6.8","","8.8","73.9","70.9","89","Medium","No","996731","","","","","Key Fwd","21","27","Injury: knee. Likely wont play Rd1. Shouldn't miss many games"
"Mid","Fwd","Shai Bolton","FRE","12","Mid: -0.6  Fwd: 12  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","6.3","Mid: 6.3  Fwd: 7.0","9.3","73.5","71","90","Low","Yes","993993","","","","","Gen Fwd","22","26","Interrupted pre-season: Calf strain. Role: Forward."
"Mid","Fwd","Alex Neal-Bullen","ADE","17.5","Mid: 4.9  Fwd: 17.5  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","4.4","Mid: 4.4  Fwd: 4.4","11.2","79","78.9","91","Low","Yes","296420","","","","","Gen Fwd","23","29",""
"Mid","","Will Day","HAW","0","No DPP   No Inj Adjustment.","","","6.1","","9.5","74.1","90.9","92","Medium","No","1008550","","","","","In.mid","16","23","Role: Inside midfielder, was injured in 2024. Expect higher scoring."
"Mid","Fwd","Luke Parker","NTH","1.2","Mid: -11.4  Fwd: 1.2  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","11.4","Mid: 11.4  Fwd: 14.5","4.2","62.7","76.2","93","High","Yes","290778","","","","","Gen Fwd","10","32","Role: Rotation between midfield and forward."
"Mid","","Jack Viney","MEL","13.3","No DPP   No Inj Adjustment.","","","2.3","","13.3","87.4","86.4","94","Low","No","291902","","","","","In.mid","23","30","Role: Scoring may decrease with return of Oliver and Trac, Rivers getting more mid time."
"Ruck","","Jarrod Witts","GCS","10.1","No DPP   No Inj Adjustment.","","","0","","15.6","96.3","92.4","95","Medium","No","291975","","","","","Ruck","16","32","Aging Ruck, handcuff to Moyle."
"Mid","","Ollie Wines","PTA","16.2","No DPP   No Inj Adjustment.","","","1.8","","13.8","90.3","87","96","Medium","No","294318","","","","","In.mid","25","30","Good 2024 due to healthy body, age is an injury risk, as well may start to get phased out of mid rotation."
"Def","","Nick Vlastuin","RIC","17","No DPP   No Inj Adjustment.","","","1.9","","13.7","81.5","87.4","97","Low","No","294674","","","","","Def","22","30",""
"Mid","","Tom Liberatore","WBD","12.8","No DPP   No Inj Adjustment.","","","2.4","","13.2","86.9","91.3","98","Medium","No","290799","","","","","In.mid","18","32",""
"Mid","","George Hewett","CAR","10.1","No DPP   No Inj Adjustment.","","","3","","12.6","84.2","89.3","99","Medium","No","294036","","","","","In.mid","22","29","History of soft tissue injuries. Will score reasonable when fit."
"Fwd","","Harry McKay","CAR","19.4","No DPP   No Inj Adjustment.","","","3.7","","11.9","80.9","70","100","Medium","No","1000953","","","","","Key Fwd","21","27","Scoring variable, key forward best used in good matchups."
"Def","","Zac Fisher","NTH","17.9","No DPP   No Inj Adjustment.","","","1.7","","13.9","82.4","66.1","101","Medium","No","999827","","","","","Distributor","18","26","Role: Moved forward"
"Def","","Harry Perryman","COL","8.8","No DPP   No Inj Adjustment.","","","4.1","","11.5","73.3","81.2","102","Low","No","998205","","","","","Distributor","21","26","Traded to COL. Likely get scoring bump from other midfielders injuries."
"Def","","Daniel Rioli","GCS","17.3","Inj Adjust: -1.5","","","1.5","","14.1","83.5","82.2","103","Low","No","1000981","","","","","Distributor","23","27","Interrupted pre-season: Knee."
"Fwd","","Ben Keays","ADE","15.2","No DPP   No Inj Adjustment.","","","5.4","","10.2","76.7","85.4","104","Low","No","993946","","","","","Gen Fwd","23","27","Role: Fwd, but can pinch hit in the mid or tag."
"Mid","","Ed Richards","WBD","10.8","No DPP   No Inj Adjustment.","","","2.8","","12.8","84.9","81.2","105","Medium","No","1008280","","","","","Out.mid","21","25","Role: Inside mid set to continue."
"Mid","","Sam Docherty","CAR","-16.6","No DPP   No Inj Adjustment.","","","14.3","","1.3","57.5","99.4","106","Medium","No","295518","","","","","Distributor","2","31","Role: training wing and inside mid, distributor not primary role."
"Fwd","","Sam Darcy","WBD","13.9","No DPP   No Inj Adjustment.","","","6","","9.6","75.4","73.5","107","Medium","No","1017126","","","","","Key Fwd","21","21","Role: Likely key forward with Ruck chop out. English injury will see higher scoring."
"Mid","","Tim Kelly","WCE","11.8","No DPP   No Inj Adjustment.","","","2.6","","13","85.9","89.4","108","Low","No","295898","","","","","In.mid","20","30",""
"Def","","Nic Newman","CAR","","No DPP   No Inj Adjustment.","","","0.1","","15.5","102.1","0","109","High","No","297907","","","","","Distributor","24","32","Injury: Season, Knee."
"Fwd","","Toby Greene","GWS","10.4","No DPP   No Inj Adjustment.","","","7.9","","7.7","71.9","77.3","110","Low","No","295344","","","","","Gen Fwd","24","31","Role: last year didn't get much mid time as was played as a forward."
"Mid","","James Rowbottom","SYD","11","No DPP   No Inj Adjustment.","","","2.7","","12.9","85.1","83","111","Low","No","1006126","","","","","In.mid","24","24",""
"Mid","","Elliot Yeo","WCE","9.5","Inj Adjust: -4.1","","","1.7","","13.9","90.9","80","112","High","No","292128","","","","","In.mid","20","31","Injury: Knee/Ankle syndesmosis injury . April return. Large injury history, scoring likely to reduce."
"Ruck","","Oscar McInerney","BRL","-1","No DPP   No Inj Adjustment.","","","0","","15.6","85.2","81.4","113","Medium","No","1005521","","","","","Ruck","25","30","Interrupted pre-season: Still rehabbing injury that kept him out of Grand Final."
"Mid","","Stephen Coniglio","GWS","-2.6","No DPP   No Inj Adjustment.","","","7.2","","8.4","71.5","92.8","114","High","No","291969","","","","","In.mid","15","31","Interrupted pre-season: Shoulder, training in Feb. Likely high CBA midfielder."
"Mid","","Tom Mitchell","COL","2.4","Inj Adjust: -0.8","","","4.8","","10.8","77.8","87.4","115","High","No","291856","","","","","In.mid","6","31","Injury. Foot injury is persistent. Bone stress. Likely pre-season interruption."
"Def","Mid","Jake Lloyd","SYD","14.7","Def: 14.7  Mid: 5.1  No Inj Adjustment.","","Def: Inf  Mid: Inf","2.4","Mid: 4.3  Def: 2.4","13.2","79.2","85.6","116","Low","Yes","295342","","","","","Distributor","26","31","Role: Other distributors coming through (Blakey/Roberts) scoring to likely drop but not completely."
"Mid","","Massimo D'Ambrosio","HAW","4.9","No DPP   No Inj Adjustment.","","","4.4","","11.2","79","77","117","Medium","No","1005144","","","","","Out.mid","24","21","Interrupted pre-season. Appendix, return to training January"
"Mid","Fwd","Jack Graham","WCE","3","Mid: -9.6  Fwd: 3  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","10.5","Mid: 10.5  Fwd: 13.0","5.1","64.5","69.4","118","Medium","Yes","990827","","","","","Out.mid","14","26","Punt. Moved to WCE, will get mid time with injuries."
"Ruck","","Jordon Sweet","PTA","-3.4","No DPP   No Inj Adjustment.","","","0","","15.6","82.8","84.5","119","High","No","992330","","","","","Ruck","17","26","Role: Competing with Soldo to be the number 1 ruck, avoid unless you know he has it."
"Def","","Kane Farrell","PTA","13.9","No DPP   No Inj Adjustment.","","","2.6","","13","78.4","69.6","120","Medium","No","1002253","","","","","Distributor","22","25","Interrupted pre-season: hamstring. Might not miss games."
"Def","","Keidean Coleman","BRL","-22.5","No DPP   No Inj Adjustment.","","","28.8","","-13.2","34","71","121","High","No","1006059","","","","","","1","24","Injury: ACL in 2024"
"Mid","Fwd","Mattaes Phillipou","STK","1.4","Mid: -5.8  Fwd: 1.4  Inj Adjust: -1.4","","Mid: Inf  Fwd: Inf","10.8","Mid: 10.8  Fwd: 13.5","4.8","63.9","66.9","122","High","Yes","1020137","","","","","Gen Fwd","13","20","Injury: Stress fracture. Return April. Role: Likely playing fulltime midfield in 2025. Dealing with soreness."
"Def","","Nick Blakey","SYD","15.7","No DPP   No Inj Adjustment.","","","2.2","","13.4","80.2","80.1","123","Low","No","1006028","","","","","Distributor","26","24",""
"Mid","","Blake Acres","CAR","14.1","No DPP   No Inj Adjustment.","","","2.1","","13.5","88.2","85","124","Low","No","296294","","","","","Out.mid","23","29","Interrupted pre-season: back. Training in Jan."
"Fwd","","Josh Treacy","FRE","14.3","No DPP   No Inj Adjustment.","","","5.8","","9.8","75.8","63.8","125","Low","No","1012819","","","","","Key Fwd","20","22","Improving key forward, likely to av. 75ish. Punt."
